Switch 2,Switch 1
<SwitchTrace  swid=2 qdepth=0 qtdelta=26 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=30 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=27 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=36 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=362 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=30 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=31 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=38 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=26 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=34 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=29 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=29 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=28 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=38 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=27 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=30 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=27 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=34 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=32 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=42 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=38 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=118 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=32 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=67 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=27 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=39 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=45 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=31 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=36 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=38 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=34 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=34 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=32 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=35 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=155 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=39 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=35 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=35 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=27 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=33 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=33 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=34 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=28 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=34 |>] |>
